date,今值,前值
1982-09-28,10.25,
1982-10-02,10.0,10.25
1982-10-08,9.5,10.0
1982-11-20,9.0,9.5
1982-12-15,8.5,9.0
1983-04-01,8.62,8.5
1983-05-26,8.75,8.62
1983-06-25,9.0,8.75
1983-07-15,9.25,9.0
1983-07-21,9.43,9.25
1983-08-12,9.56,9.43
1983-08-18,9.5,9.56
1983-09-16,9.37,9.5
1984-03-30,10.5,9.37
1984-07-06,11.0,10.5
1984-07-20,11.25,11.0
1984-08-10,11.5,11.25
1984-09-21,11.25,11.5
1984-09-28,11.0,11.25
1984-10-12,10.5,11.0
1984-10-19,10.0,10.5
1984-11-09,9.5,10.0
1984-11-24,9.0,9.5
1984-12-07,8.75,9.0
1984-12-20,8.5,8.75
1984-12-25,8.12,8.5
1985-01-25,8.25,8.12
1985-02-15,8.37,8.25
1985-03-29,8.5,8.37
1985-04-26,8.25,8.5
1985-05-21,7.75,8.25
1985-07-12,7.68,7.75
1985-07-26,7.75,7.68
1985-08-22,7.81,7.75
1985-09-07,8.0,7.81
1985-12-19,7.75,8.0
1986-03-08,7.25,7.75
1986-04-03,7.31,7.25
1986-04-22,6.75,7.31
1986-05-23,6.81,6.75
1986-06-06,6.87,6.81
1986-07-12,6.37,6.87
1986-08-22,5.87,6.37
1987-01-06,6.0,5.87
1987-05-01,6.5,6.0
1987-05-23,6.75,6.5
1987-07-03,6.62,6.75
1987-08-28,6.75,6.62
1987-09-04,6.87,6.75
1987-09-05,7.25,6.87
1987-09-25,7.31,7.25
1987-11-05,6.81,7.31
1988-01-29,6.62,6.81
1988-02-12,6.5,6.62
1988-03-31,6.75,6.5
1988-05-10,7.0,6.75
1988-05-26,7.25,7.0
1988-06-23,7.43,7.25
1988-07-02,7.5,7.43
1988-07-20,7.68,7.5
1988-08-09,7.75,7.68
1988-08-10,8.12,7.75
1988-11-18,8.31,8.12
1988-11-23,8.37,8.31
1988-12-16,8.68,8.37
1989-01-06,9.0,8.68
1989-02-10,9.12,9.0
1989-02-15,9.31,9.12
1989-02-25,9.75,9.31
1989-05-18,9.81,9.75
1989-06-07,9.56,9.81
1989-07-08,9.31,9.56
1989-07-28,9.06,9.31
1989-10-20,8.75,9.06
1989-11-07,8.5,8.75
1989-12-21,8.25,8.5
1990-07-14,8.0,8.25
1990-10-30,7.75,8.0
1990-11-15,7.5,7.75
1990-12-08,7.25,7.5
1990-12-20,7.0,7.25
1991-01-10,6.75,7.0
1991-02-02,6.25,6.75
1991-03-09,6.0,6.25
1991-05-01,5.75,6.0
1991-08-07,5.5,5.75
1991-09-14,5.25,5.5
1991-11-01,5.0,5.25
1991-11-07,4.75,5.0
1991-12-07,4.5,4.75
1991-12-21,4.0,4.5
1992-04-10,3.75,4.0
1992-07-03,3.25,3.75
1992-09-05,3.0,3.25
1994-02-05,3.25,3.0
1994-03-23,3.5,3.25
1994-04-19,3.75,3.5
1994-05-18,4.25,3.75
1994-08-17,4.75,4.25
1994-11-16,5.5,4.75
1995-02-02,6.0,5.5
